ACCESS TYPE;Value;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;137;2019;443;Farrington, D.P.;7;Agricultural and Biological Sciences;4;Article;317;final;409;International Journal Of Environmental Research And Public Health;28;Cyberbullying;413;Universidad de Cordoba;8;European Commission;9;United States;118;Journal;379;English;420
Other;306;;;Griffiths, M.D.;6;Arts and Humanities;35;Conference Paper;63;aip;34;Computers In Human Behavior;17;Human;224;Nottingham Trent University;8;European Regional Development Fund;8;Spain;68;Conference Proceeding;51;Spanish;16
;;;;Wachs, S.;6;Biochemistry, Genetics and Molecular Biology;4;Review;31;;;Journal Of Interpersonal Violence;15;Male;165;Universitat d'Alacant;8;Eunice Kennedy Shriver National Institute of Child Health and Human Development;5;United Kingdom;48;Book Series;13;German;4
;;;;Wright, M.F.;6;Business, Management and Accounting;14;Editorial;16;;;Aggression And Violent Behavior;11;Female;161;Universidad del Pais Vasco;8;National Institute of Justice;5;China;28;;;Turkish;3
;;;;Brighi, A.;5;Chemical Engineering;2;Note;10;;;Frontiers In Psychology;10;Adolescent;152;International University of La Rioja;8;National Institutes of Health;5;Australia;24;;;Chinese;1
;;;;Delgado, B.;5;Computer Science;111;Letter;2;;;Cyberpsychology Behavior And Social Networking;9;Article;152;Pennsylvania State University;7;Ministry of Science and Technology, Taiwan;4;Turkey;22;;;French;1
;;;;Guarini, A.;5;Decision Sciences;19;Book Chapter;1;;;Children And Youth Services Review;7;Humans;129;Universiteit Antwerpen;7;National Institute of Mental Health;4;Italy;21;;;Korean;1
;;;;Baldry, A.C.;4;Economics, Econometrics and Finance;2;Undefined;3;;;International Journal Of Mental Health And Addiction;6;Bullying;105;University of Cambridge;7;National Science Foundation;4;Canada;17;;;Malay;1
;;;;Barlett, C.P.;4;Energy;6;;;;;Journal Of Adolescence;6;Psychology;96;Universidad de Deusto;6;Canadian Institutes of Health Research;3;Germany;16;;;Portuguese;1
;;;;Cho, S.;4;Engineering;45;;;;;Journal Of Adolescent Health;5;Major Clinical Study;90;Kaohsiung Medical University;6;Fonds Wetenschappelijk Onderzoek;3;India;12;;;;
;;;;Hu, H.F.;4;Environmental Science;30;;;;;Lancet Child And Adolescent Health;5;Cyber Bullying;89;Universität Potsdam;6;Japan Society for the Promotion of Science;3;Malaysia;12;;;;
;;;;Lei, L.;4;Health Professions;4;;;;;Lecture Notes In Computer Science Including Subseries Lecture Notes In Artificial Intelligence And Lecture Notes In Bioinformatics;5;Child;86;Masaryk University;6;Kaohsiung Medical University Chung-Ho Memorial Hospital;3;Israel;10;;;;
;;;;Machimbarrena, J.M.;4;Immunology and Microbiology;2;;;;;International Journal Of Recent Technology And Engineering;4;Computer Crime;82;Universidad Pablo de Olavide;6;Medical Research Council;3;Taiwan;10;;;;
;;;;Martínez-Ferrer, B.;4;Materials Science;2;;;;;Journal Of Affective Disorders;4;Social Media;72;Kaohsiung Medical University Chung-Ho Memorial Hospital;6;National Health and Medical Research Council;3;Belgium;9;;;;
;;;;Martínez-Monteagudo, M.C.;4;Mathematics;13;;;;;Journal Of Medical Internet Research;4;Crime Victim;65;Ministry of Education China;5;National Institute for Health Research;3;South Korea;9;;;;
;;;;Mouheb, D.;4;Medicine;168;;;;;Trauma Violence And Abuse;4;Adult;64;Free University of Bozen-Bolzano;5;National Institute of Child Health and Human Development;3;France;8;;;;
;;;;Temple, J.R.;4;Multidisciplinary;5;;;;;ACM International Conference Proceeding Series;3;Crime Victims;64;Renmin University of China;5;National Natural Science Foundation of China;3;Hong Kong;7;;;;
;;;;Vandebosch, H.;4;Neuroscience;11;;;;;Advances In Intelligent Systems And Computing;3;Questionnaire;59;Alma Mater Studiorum Università di Bologna;5;Social Sciences and Humanities Research Council of Canada;3;Pakistan;7;;;;
;;;;Wang, X.;4;Nursing;10;;;;;Australian And New Zealand Journal Of Psychiatry;3;Victim;59;University of Seville;5;Beijing Normal University;2;Czech Republic;6;;;;
;;;;Zych, I.;4;Physics and Astronomy;1;;;;;BMC Public Health;3;Human Experiment;58;Universidad de Murcia;4;British Academy;2;Japan;6;;;;
;;;;Agustina, J.R.;3;Psychology;172;;;;;Current Psychology;3;Internet;54;Shanxi University;4;Centers for Disease Control and Prevention;2;New Zealand;6;;;;
;;;;Calvete, E.;3;Social Sciences;134;;;;;Journal Of Child And Family Studies;3;Controlled Study;53;Huazhong Normal University;4;Deutsche Forschungsgemeinschaft;2;Chile;5;;;;
;;;;Cheng, L.;3;;;;;;;Journal Of Youth And Adolescence;3;Student;49;Tainan Municipal Hospital Taiwan;4;Emberi EroforrÃ¡sok MinisztÃ©riuma;2;Colombia;5;;;;
;;;;Chu, X.W.;3;;;;;;;Journal Of Youth Studies;3;Social Networking (online);48;Children's Hospital and Regional Medical Center;4;European Social Fund;2;Indonesia;5;;;;
