ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;98;2020;296;Kabiri, S.;5;Agricultural and Biological Sciences;4;Article;244;final;231;International Journal Of Environmental Research And Public Health;18;Cyberbullying;279;National University of Singapore;7;European Commission;4;United States;61;Journal;277;English;280
Other;198;;;Delgado, B.;4;Arts and Humanities;42;Review;20;aip;65;Computers In Human Behavior;15;Human;137;International University of La Rioja;6;National Natural Science Foundation of China;4;Spain;39;Conference Proceeding;10;Spanish;9
;;;;Hermens, D.F.;4;Biochemistry, Genetics and Molecular Biology;5;Conference Paper;19;;;Children And Youth Services Review;10;Article;112;Universidad de Cordoba;5;Fundamental Research Funds for the Central Universities;3;China;26;Book Series;8;German;5
;;;;Lagopoulos, J.;4;Business, Management and Accounting;5;Book Chapter;3;;;Asia Pacific Journal Of Social Work And Development;7;Male;100;University of Mazandaran;5;Junta de AndalucÃ­a;3;United Kingdom;23;Book;1;French;3
;;;;Lee, J.;4;Computer Science;53;Editorial;3;;;Scandinavian Journal Of Psychology;6;Female;98;Nottingham Trent University;5;Universidad de MÃ¡laga;3;India;18;;;Russian;2
;;;;Llorent, V.J.;4;Decision Sciences;7;Letter;2;;;Advances In Intelligent Systems And Computing;4;Adolescent;86;Renmin University of China;5;Canadian Institutes of Health Research;2;Australia;17;;;Chinese;1
;;;;Martínez-Monteagudo, M.C.;4;Dentistry;1;Note;2;;;Aggression And Violent Behavior;4;Major Clinical Study;62;The University of Guilan;5;China Postdoctoral Science Foundation;2;Canada;16;;;Portuguese;1
;;;;McLoughlin, L.T.;4;Economics, Econometrics and Finance;3;Short Survey;2;;;Frontiers In Psychology;4;Bullying;54;Masaryk University;5;Erasmus+;2;Germany;11;;;Turkish;1
;;;;Wright, M.F.;4;Energy;1;Erratum;1;;;International Journal For The Semiotics Of Law;4;Child;51;Pennsylvania State University;4;European Regional Development Fund;2;Israel;10;;;;
;;;;Zych, I.;4;Engineering;16;;;;;Journal Of Adolescent Health;4;Controlled Study;44;Ministry of Education China;4;Eusko Jaurlaritza;2;Italy;10;;;;
;;;;Aizenkot, D.;3;Environmental Science;20;;;;;Journal Of Interpersonal Violence;4;Cyber Bullying;44;McGill University;4;FundaÃ§Ã£o para a CiÃªncia e a Tecnologia;2;Sweden;10;;;;
;;;;Broadhouse, K.M.;3;Health Professions;3;;;;;Kindheit Und Entwicklung;4;Victim;44;Bar-Ilan University;4;Health Research Board;2;Turkey;10;;;;
;;;;Bussey, K.;3;Mathematics;9;;;;;Psychiatry Research;4;Social Media;43;Universidad de Malaga;4;Japan Society for the Promotion of Science;2;Malaysia;8;;;;
;;;;Machimbarrena, J.M.;3;Medicine;111;;;;;Child Indicators Research;3;Computer Crime;41;Huazhong Normal University;4;Kaohsiung Medical University Chung-Ho Memorial Hospital;2;Hong Kong;7;;;;
;;;;Matulewska, A.;3;Multidisciplinary;4;;;;;Cyberpsychology Behavior And Social Networking;3;Human Experiment;41;Universitat d'Alacant;4;Ministeriet Sundhed Forebyggelse;2;Indonesia;7;;;;
;;;;Ortega-Ruiz, R.;3;Neuroscience;8;;;;;Frontiers In Psychiatry;3;Adult;35;Göteborgs Universitet;4;Ministerio de Ciencia, InnovaciÃ³n y Universidades;2;Ireland;7;;;;
;;;;Rey, L.;3;Nursing;6;;;;;International Journal Of Adolescence And Youth;3;Adolescents;33;Universidad del Pais Vasco;4;Ministry of Economy, Trade and Industry;2;Portugal;7;;;;
;;;;Scheithauer, H.;3;Pharmacology, Toxicology and Pharmaceutics;1;;;;;International Journal Of Innovation Creativity And Change;3;Mental Health;32;Universidad Pablo de Olavide;4;Ministry of Science and Technology, Taiwan;2;Singapore;7;;;;
;;;;Shadmanfaat, S.M.;3;Physics and Astronomy;2;;;;;Trauma Violence And Abuse;3;Depression;31;University at Buffalo, The State University of New York;4;National Institute for Health Research;2;South Korea;7;;;;
