ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;220;2020;746;Edwards, K.M.;7;Agricultural and Biological Sciences;9;Article;613;final;539;Journal Of Interpersonal Violence;121;Domestic Violence;677;University of Melbourne;20;National Institutes of Health;19;United States;302;Journal;739;English;727
Other;526;;;Feder, G.;6;Arts and Humanities;30;Review;54;aip;207;Journal Of Family Violence;35;Human;456;Michigan State University;14;Social Sciences and Humanities Research Council of Canada;10;United Kingdom;106;Book;3;German;6
;;;;Dawson, M.;5;Biochemistry, Genetics and Molecular Biology;13;Note;32;;;Violence Against Women;25;Article;348;Western University;12;Eunice Kennedy Shriver National Institute of Child Health and Human Development;9;Australia;99;Book Series;2;Spanish;6
;;;;Goodman, L.A.;5;Business, Management and Accounting;9;Editorial;20;;;Trauma Violence And Abuse;23;Female;300;University of Bristol;12;National Institute of Justice;8;Canada;57;Conference Proceeding;2;Portuguese;5
;;;;Humphreys, C.;5;Computer Science;3;Letter;18;;;International Journal Of Environmental Research And Public Health;13;Adult;249;UCL;12;Australian Research Council;7;India;29;;;French;4
;;;;Olszowy, L.;5;Dentistry;3;Conference Paper;4;;;Child Abuse And Neglect;12;Male;205;Johns Hopkins Bloomberg School of Public Health;10;Centers for Disease Control and Prevention;7;Spain;18;;;Russian;3
;;;;Baird, K.;4;Earth and Planetary Sciences;3;Book Chapter;2;;;Asian Journal Of Psychiatry;8;Human Experiment;139;University of Washington, Seattle;10;National Institute on Alcohol Abuse and Alcoholism;7;Brazil;16;;;Slovak;1
;;;;Hegarty, K.;4;Economics, Econometrics and Finance;14;Short Survey;2;;;BMC Public Health;7;Partner Violence;136;University of New South Wales UNSW Australia;10;Economic and Social Research Council;6;Netherlands;15;;;;
;;;;Jaffe, P.G.;4;Engineering;2;Book;1;;;BMJ;7;Major Clinical Study;129;King's College London;9;Medical Research Council;6;Germany;14;;;;
;;;;Johnson, L.;4;Environmental Science;23;;;;;Journal Of Aggression Maltreatment And Trauma;7;Intimate Partner Violence;123;Monash University;9;National Health and Medical Research Council;6;Italy;12;;;;
;;;;Postmus, J.L.;4;Health Professions;11;;;;;Plos One;7;Controlled Study;113;The University of North Carolina at Chapel Hill;9;National Institute for Health Research;6;Switzerland;11;;;;
;;;;Saxton, M.D.;4;Immunology and Microbiology;1;;;;;Affilia Journal Of Women And Social Work;5;Child;100;The University of Queensland;9;National Institute of Mental Health;6;China;10;;;;
;;;;Straatman, A.L.;4;Medicine;347;;;;;Australian Social Work;5;Priority Journal;87;London School of Hygiene &amp;;;;;;;;;
;;;;Ullman, S.E.;4;Multidisciplinary;10;;;;;Health And Social Care In The Community;5;Mental Health;75;Griffith University;9;Canadian Institutes of Health Research;5;Sweden;10;;;;
;;;;Waterman, E.A.;4;Neuroscience;13;;;;;International Journal Of Psychosocial Rehabilitation;5;Adolescent;72;Rutgers University–New Brunswick;9;U.S. Department of Justice;5;Turkey;10;;;;
;;;;Buchanan, F.;3;Nursing;37;;;;;Journal Of Social Welfare And Family Law;5;Victim;70;Deakin University;8;CoordenaÃ§Ã£o de AperfeiÃ§oamento de Pessoal de NÃ­vel Superior;4;Norway;9;;;;
;;;;Cho, H.;3;Pharmacology, Toxicology and Pharmaceutics;12;;;;;Aggression And Violent Behavior;4;Humans;62;University of Michigan, Ann Arbor;8;Department for International Development;4;Pakistan;9;;;;
;;;;Dardis, C.M.;3;Psychology;296;;;;;Indian Journal Of Forensic Medicine And Toxicology;4;Prevalence;61;University of Nebraska–Lincoln;8;Fogarty International Center;4;South Africa;9;;;;
;;;;Durfee, A.;3;Social Sciences;300;;;;;International Journal Of Gynecology And Obstetrics;4;Child Abuse;60;Universidade de Sao Paulo - USP;7;Office on Violence Against Women;4;Portugal;8;;;;
;;;;Fauci, J.E.;3;Veterinary;2;;;;;International Social Work;4;Coronavirus Disease 2019;58;University of Toronto;7;National Institute of Child Health and Human Development;3;Finland;7;;;;
;;;;Franklin, C.A.;3;;;;;;;Lancet;4;Risk Factor;58;Flinders University;7;National Institute of Neurological Disorders and Stroke;3;Iran;7;;;;
;;;;Hayes, B.E.;3;;;;;;;Policing And Society;4;Pandemic;56;Queen Mary, University of London;7;National Institute on Drug Abuse;3;Israel;7;;;;
;;;;Howell, K.H.;3;;;;;;;Social Science And Medicine;4;Clinical Article;52;Sam Houston State University;7;National Science Foundation;3;New Zealand;7;;;;
;;;;Jackson, K.T.;3;;;;;;;BMC Pregnancy And Childbirth;3;Depression;52;Boston College;7;Newcastle University;3;South Korea;6;;;;
;;;;Jaffe, P.;3;;;;;;;Child Abuse Review;3;Interview;46;Harvard Medical School;6;Robert Wood Johnson Foundation;3;Austria;5;;;;
;;;;Mantler, T.;3;;;;;;;Child And Family Social Work;3;Emotional Abuse;44;Arizona State University;6;United States Agency for International Development;3;Bangladesh;5;;;;
;;;;Nikolova, K.;3;;;;;;;Children And Youth Services Review;3;Gender;44;Johns Hopkins University;6;Wellcome Trust;3;Denmark;5;;;;
;;;;Sabri, B.;3;;;;;;;Criminalising Coercive Control Family Violence And The Criminal Law;3;Family Violence;42;Wayne State University;6;AgÃ¨ncia de GestiÃ³ d'Ajuts Universitaris i de Recerca;2;Ghana;5;;;;
;;;;Stylianou, A.M.;3;;;;;;;Eclinicalmedicine;3;Survivor;42;Simon Fraser University;6;Atkinson Foundation;2;Hong Kong;5;;;;
;;;;Tarzia, L.;3;;;;;;;Frontiers In Psychiatry;3;Physical Abuse;40;University of Technology Sydney;6;Bill and Melinda Gates Foundation;2;Ireland;5;;;;
;;;;Thurston, I.B.;3;;;;;;;Journal Of Affective Disorders;3;Perception;39;University of Oxford;6;British Academy;2;Nepal;5;;;;
;;;;Walsh, E.J.;3;;;;;;;Journal Of Family Issues;3;Sexual Assault;39;Organisation Mondiale de la Santé;6;China Scholarship Council;2;Nigeria;5;;;;
;;;;Wendt, S.;3;;;;;;;Lancet Public Health;3;Questionnaire;38;University of Miami;6;Department of Health, Australian Government;2;Indonesia;4;;;;
;;;;Wong, J.S.;3;;;;;;;Medico Legal Update;3;Sexual Violence;38;University of Western Australia;6;Department of Social Services, Australian Government;2;Kenya;4;;;;
;;;;Allen, N.E.;2;;;;;;;Psychiatry Psychology And Law;3;Violence;37;University of South Australia;6;European Commission;2;Malaysia;4;;;;
;;;;Amin, A.;2;;;;;;;Psychological Trauma Theory Research Practice And Policy;3;Awareness;36;Harvard T.H. Chan School of Public Health;6;European University Institute;2;Mexico;4;;;;
;;;;Anderson, D.;2;;;;;;;Psychology Of Violence;3;Qualitative Research;36;Bristol Medical School;6;Family and Youth Services Bureau;2;Thailand;4;;;;
;;;;Anderson, K.M.;2;;;;;;;Qualitative Social Work;3;Public Health;34;The University of Texas at Arlington;5;Griffith University;2;Colombia;3;;;;
;;;;Anurudran, A.;2;;;;;;;Rechtsmedizin;3;Review;34;University of Pennsylvania;5;Health Resources and Services Administration;2;Egypt;3;;;;
;;;;Arcidiacono, C.;2;;;;;;;Women S Studies International Forum;3;Risk Assessment;34;Universidade do Porto;5;Institute for Children, Youth, and Families;2;Fiji;3;;;;
;;;;Babcock, J.C.;2;;;;;;;Advances In Intelligent Systems And Computing;2;United States;34;Queensland University of Technology QUT;5;Israel Science Foundation;2;Iceland;3;;;;
;;;;Banyard, V.L.;2;;;;;;;American Behavioral Scientist;2;Coronavirus Infection;33;University of Wollongong;5;Liverpool School of Tropical Medicine;2;Poland;3;;;;
;;;;Bates, E.A.;2;;;;;;;American Journal Of Community Psychology;2;Cross-sectional Study;33;University of Guelph;5;Maternal and Child Health Bureau;2;Serbia;3;;;;
;;;;Beck, T.;2;;;;;;;American Journal Of Public Health;2;Education;33;The University of Sydney;5;NSW Ministry of Health;2;Sri Lanka;3;;;;
;;;;Bergenfeld, I.;2;;;;;;;Archives Of Disease In Childhood;2;Mental Disease;33;Columbia University in the City of New York;5;National Center for Advancing Translational Sciences;2;Taiwan;3;;;;
;;;;Bhandari, S.;2;;;;;;;Archives Of Psychiatric Nursing;2;Offender;33;Curtin University;5;National Heart and Lung Institute;2;Uganda;3;;;;
;;;;Bjørngaard, J.H.;2;;;;;;;Archives Of Psychiatry Research;2;Pandemics;33;University of Central Lancashire;5;National Heart, Lung, and Blood Institute;2;Belgium;2;;;;
;;;;Bonomi, A.E.;2;;;;;;;BMC Family Practice;2;Physical Violence;32;University of Cape Town;4;National Institute of Allergy and Infectious Diseases;2;Croatia;2;;;;
;;;;Bouchard, J.;2;;;;;;;BMC Health Services Research;2;Aged;31;Emory University;4;National Institute on Minority Health and Health Disparities;2;Czech Republic;2;;;;
;;;;Bouffard, L.A.;2;;;;;;;BMC Psychiatry;2;Coronavirus Infections;31;Virginia Commonwealth University;4;Norges ForskningsrÃ¥d;2;Ethiopia;2;;;;
;;;;Branas, C.C.;2;;;;;;;BMC Women S Health;2;Pneumonia, Viral;31;Yale University;4;Office of Justice Programs;2;Japan;2;;;;
;;;;Burge, S.K.;2;;;;;;;British Journal Of Criminology;2;Psychology;31;University of Houston;4;Seventh Framework Programme;2;Lebanon;2;;;;
;;;;Campbell, J.C.;2;;;;;;;Child Care In Practice;2;Virus Pneumonia;31;La Trobe University;4;Substance Abuse and Mental Health Services Administration;2;Malawi;2;;;;
;;;;Connolly, E.J.;2;;;;;;;Ciencia E Saude Coletiva;2;Women;30;Murdoch Children's Research Institute;4;University of Memphis;2;Peru;2;;;;
;;;;Darj, E.;2;;;;;;;Crime And Delinquency;2;Note;29;The University of British Columbia;4;Western University;2;Russian Federation;2;;;;
;;;;Davis, M.;2;;;;;;;Drug And Alcohol Dependence;2;Posttraumatic Stress Disorder;29;Norges Teknisk-Naturvitenskapelige Universitet;4;ACT Government;1;Singapore;2;;;;
;;;;Decker, M.R.;2;;;;;;;EMA Emergency Medicine Australasia;2;Systematic Review;29;University of Maryland, Baltimore;4;Academy of Finland;1;Uruguay;2;;;;
;;;;Dheensa, S.;2;;;;;;;European Psychologist;2;Demography;28;University of Nottingham;4;Administration for Children and Families;1;Viet Nam;2;;;;
;;;;Douglas, H.;2;;;;;;;Feminist Criminology;2;Empowerment;28;The University of Tennessee, Knoxville;4;Agency for Healthcare Research and Quality;1;Afghanistan;1;;;;
;;;;Dowrick, A.;2;;;;;;;Feminist Media Studies;2;Sexual Abuse;28;Arizona State University Downtown Phoenix Campus;4;AgentÃºra na Podporu VÃ½skumu a VÃ½voja;1;Argentina;1;;;;
;;;;Doyle, J.L.;2;;;;;;;General Hospital Psychiatry;2;Young Adult;27;George Mason University, Fairfax Campus;4;Allstate Foundation;1;Congo;1;;;;
;;;;Du Mont, J.;2;;;;;;;Health And Place;2;Anxiety;26;Ulster University;4;American Academy of Family Physicians Foundation;1;Cyprus;1;;;;
;;;;Dutheil, F.;2;;;;;;;Health Care For Women International;2;Dating Violence;26;Liverpool School of Tropical Medicine;4;American Academy of Pediatrics;1;Guyana;1;;;;
