ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;91;2020;264;De, T.;5;Agricultural and Biological Sciences;77;Article;242;final;250;Behavioural Brain Research;13;Grooming;195;Chinese Academy of Sciences;6;National Institutes of Health;21;United States;76;Journal;255;English;262
Other;173;;;Jerlhag, E.;3;Arts and Humanities;4;Conference Paper;9;aip;14;Animals;9;Article;178;CNRS Centre National de la Recherche Scientifique;5;National Natural Science Foundation of China;21;China;35;Book Series;5;French;1
;;;;Onaolapo, A.Y.;3;Biochemistry, Genetics and Molecular Biology;62;Review;8;;;Hormones And Behavior;6;Nonhuman;152;Deutsches Primatenzentrum;5;Conselho Nacional de Desenvolvimento CientÃ­fico e TecnolÃ³gico;9;Brazil;22;Conference Proceeding;4;German;1
;;;;Onaolapo, O.J.;3;Business, Management and Accounting;2;Letter;4;;;Behavioural Processes;5;Male;138;National Institute of Technology, Durgapur;5;Japan Society for the Promotion of Science;8;Germany;22;;;;
;;;;Vestlund, J.;3;Chemical Engineering;2;Note;1;;;Plos One;5;Controlled Study;119;Max Planck Institute for Evolutionary Anthropology;4;CoordenaÃ§Ã£o de AperfeiÃ§oamento de Pessoal de NÃ­vel Superior;7;United Kingdom;22;;;;
;;;;Alghadhban, A.;2;Chemistry;8;;;;;Primates;5;Animal Experiment;115;Universidade de Sao Paulo - USP;4;Deutsche Forschungsgemeinschaft;7;Canada;17;;;;
;;;;Allanic, M.;2;Computer Science;23;;;;;American Journal Of Primatology;4;Female;100;University of California, Davis;4;Leakey Foundation;6;India;17;;;;
;;;;Alouini, M.S.;2;Decision Sciences;3;;;;;Neuroscience Letters;4;Adult;77;University of Guelph;4;National Science Foundation;6;Japan;14;;;;
;;;;Bours, P.;2;Dentistry;1;;;;;Physiology And Behavior;4;Priority Journal;72;Göteborgs Universitet;4;Natural Sciences and Engineering Research Council of Canada;6;Italy;13;;;;
;;;;Brenes, J.C.;2;Engineering;20;;;;;Apidologie;3;Animal Model;65;Göteborg University, Sahlgrenska Academy;4;Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung;4;Spain;10;;;;
;;;;Bush, S.E.;2;Environmental Science;11;;;;;Brain Research Bulletin;3;Human;62;Università degli Studi di Milano;4;Canadian Institutes of Health Research;3;France;9;;;;
