ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;21;2019;88;Temple, J.R.;7;Arts and Humanities;21;Article;75;final;80;Computers In Human Behavior;6;Sexting;86;University of Calgary;6;Social Sciences and Humanities Research Council of Canada;3;United States;24;Journal;86;English;81
Other;67;;;Madigan, S.;5;Biochemistry, Genetics and Molecular Biology;1;Review;6;aip;8;Archives Of Sexual Behavior;5;Human;54;UT Medical Branch at Galveston;6;Agencia Estatal de InvestigaciÃ³n;2;Spain;19;Book Series;2;Spanish;9
;;;;Van Ouytsel, J.;5;Computer Science;11;Editorial;5;;;Journal Of Adolescent Health;4;Adolescent;41;University of Seville;5;Canada Research Chairs;2;United Kingdom;11;;;Persian;1
;;;;Agustina, J.R.;4;Engineering;1;Conference Paper;1;;;Journal Of Pediatric And Adolescent Gynecology;3;Female;41;Universiteit Gent;5;Eunice Kennedy Shriver National Institute of Child Health and Human Development;2;Australia;10;;;;
;;;;Klettke, B.;4;Environmental Science;1;Note;1;;;BMJ Sexual And Reproductive Health;2;Article;40;Alberta Children's Hospital;4;Fonds Wetenschappelijk Onderzoek;2;Belgium;7;;;;
;;;;Montiel, I.;4;Mathematics;1;;;;;Cyberpsychology Behavior And Social Networking;2;Male;39;Universiteit Antwerpen;4;Ministerio de Ciencia, InnovaciÃ³n y Universidades;2;Canada;7;;;;
;;;;Ponnet, K.;4;Medicine;31;;;;;Feminist Media Studies;2;Human Experiment;29;Deakin University;4;National Institute of Justice;2;Ecuador;3;;;;
;;;;Walrave, M.;4;Neuroscience;2;;;;;Frontiers In Psychology;2;Humans;28;Universitat Internacional de Catalunya;4;Asthma Foundation of Western Australia;1;Italy;3;;;;
;;;;Gassó, A.M.;3;Nursing;1;;;;;Journal Of Adolescence;2;Sexual Behavior;26;Interuniversity Micro-Electronics Center at Leuven;3;Bijzonder Onderzoeksfonds UGent;1;Bosnia and Herzegovina;2;;;;
;;;;Ojeda, M.;3;Pharmacology, Toxicology and Pharmaceutics;1;;;;;Journal Of Gender Studies;2;Major Clinical Study;23;University of Valle d’Aosta;2;Burdett Trust for Nursing;1;Croatia;2;;;;
;;;;Adorjan, M.;2;Psychology;42;;;;;Journal Of Research In Gender Studies;2;Adult;22;Universidad de Cordoba;2;Centers for Disease Control and Prevention;1;Denmark;2;;;;
;;;;Baiocco, R.;2;Social Sciences;32;;;;;Journal Of Sex And Marital Therapy;2;Text Messaging;21;Rafsanjan University of Medical Sciences;2;Church and Dwight;1;Germany;2;;;;
;;;;Bianchi, D.;2;;;;;;;Revista Espanola De Medicina Legal;2;Psychology;18;Universidad de Jaen;2;Daimler und Benz Stiftung;1;Iran;2;;;;
;;;;Casas, J.A.;2;;;;;;;Aggression And Violent Behavior;1;Adolescent Behavior;15;Universidad de Almeria;2;Economic and Social Research Council;1;New Zealand;2;;;;
;;;;Chirumbolo, A.;2;;;;;;;American Journal Of Health Promotion;1;Cyberbullying;15;University of Zadar;2;European Commission;1;Chile;1;;;;
;;;;De Ridder, S.;2;;;;;;;Anales De Psicologia;1;Adolescents;14;Memorial University of Newfoundland;2;European Regional Development Fund;1;Cyprus;1;;;;
;;;;Del Rey, R.;2;;;;;;;Canadian Journal Of Human Sexuality;1;Child;14;University of Birmingham;2;Faculty of Arts and Social Sciences, Carleton University;1;Ethiopia;1;;;;
;;;;Dodaj, A.;2;;;;;;;Child Abuse And Neglect;1;Controlled Study;14;University of Melbourne;2;Foundation for the National Institutes of Health;1;Hong Kong;1;;;;
;;;;Elipe, P.;2;;;;;;;Children And Youth Services Review;1;Adolescence;12;Universidad de Granada;2;Instituto Nacional de Ciberseguridad;1;Hungary;1;;;;
;;;;Ghorashi, Z.;2;;;;;;;Current Psychology;1;Social Media;12;University of Cambridge;2;Maine Cancer Foundation;1;India;1;;;;
;;;;Hallford, D.J.;2;;;;;;;Educational And Child Psychology;1;Gender;11;University of Western Australia;2;Memorial University of Newfoundland;1;Japan;1;;;;
