ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;40;2020;113;Jewkes, R.;4;Arts and Humanities;9;Article;105;final;88;Journal Of Interpersonal Violence;8;Violence Against Women;92;South African Medical Research Council;4;Department for International Development;4;United States;31;Journal;112;English;104
Other;73;;;Gibbs, A.;3;Biochemistry, Genetics and Molecular Biology;1;Review;6;aip;25;Violence Against Women;4;Human;53;Johns Hopkins Bloomberg School of Public Health;3;South African Medical Research Council;4;Brazil;15;Trade Journal;1;Portuguese;5
;;;;Ottenheimer, D.;3;Computer Science;1;Data Paper;1;;;BMC Public Health;3;Article;50;La Trobe University;3;Medical Research Council;2;United Kingdom;13;;;Spanish;5
;;;;Aguirre, N.G.;2;Economics, Econometrics and Finance;2;Note;1;;;Global Health Action;3;Female;47;Universidade de Sao Paulo - USP;3;Ministerio de EducaciÃ³n, Cultura y Deporte;2;Canada;11;;;French;2
;;;;Arboit, J.;2;Engineering;3;;;;;International Journal Of Gynecology And Obstetrics;3;Adult;38;University of Kentucky;3;National Institutes of Health;2;Australia;10;;;Slovak;1
;;;;Chahal, J.K.;2;Environmental Science;2;;;;;Journal Of Family Violence;3;Male;27;University of Melbourne;3;Social Sciences and Humanities Research Council of Canada;2;Spain;8;;;;
;;;;Chirwa, E.;2;Medicine;41;;;;;BMC International Health And Human Rights;2;Human Experiment;26;Organisation Mondiale de la Santé;3;AgentÃºra na Podporu VÃ½skumu a VÃ½voja;1;India;7;;;;
;;;;Daruwalla, N.;2;Multidisciplinary;1;;;;;Global Public Health;2;Domestic Violence;22;Community Health Center;3;Atkinson Foundation;1;South Africa;6;;;;
;;;;Du Mont, J.;2;Nursing;10;;;;;International Journal Of Comparative And Applied Criminal Justice;2;Major Clinical Study;19;International Rescue Committee;2;Australian Research Council;1;Italy;5;;;;
;;;;Dunkle, K.;2;Pharmacology, Toxicology and Pharmaceutics;1;;;;;Revue Sage Femme;2;Partner Violence;19;University of Valencia;2;BHF Centre of Research Excellence, Oxford;1;Sweden;4;;;;
;;;;Estrela, F.M.;2;Physics and Astronomy;1;;;;;Aggression And Violent Behavior;1;Violence;18;Johns Hopkins University;2;Canadian Institutes of Health Research;1;France;3;;;;
;;;;Falb, K.L.;2;Psychology;28;;;;;American Journal Of Community Psychology;1;Gender;15;University of Missouri;2;Centers for Disease Control and Prevention;1;Netherlands;3;;;;
;;;;Follingstad, D.R.;2;Social Sciences;53;;;;;Anuario De Psicologia Juridica;1;Intimate Partner Violence;14;Weill Cornell Medicine;2;Coordenação de Aperfeiçoamento de Pessoal de Nível Superior;1;Switzerland;3;;;;
;;;;Gracia, E.;2;;;;;;;Architectural Design;1;Sexual Violence;10;International Centre for Diarrhoeal Disease Research Bangladesh;2;Economic and Social Research Council;1;Turkey;3;;;;
;;;;Lila, M.;2;;;;;;;Archives Of Sexual Behavior;1;Child;9;University of KwaZulu-Natal;2;European Commission;1;Bangladesh;2;;;;
;;;;Milewski, A.R.;2;;;;;;;Asian Journal Of Criminology;1;Controlled Study;9;Western University;2;Fonds de Recherche du QuÃ©bec - SantÃ©;1;Ethiopia;2;;;;
;;;;Osrin, D.;2;;;;;;;Atencion Primaria;1;Gender-based Violence;8;Universidade Federal da Bahia;2;ForskningsrÃ¥det om HÃ¤lsa, Arbetsliv och VÃ¤lfÃ¤rd;1;Nigeria;2;;;;
;;;;Renzetti, C.M.;2;;;;;;;Australian And New Zealand Journal Of Criminology;1;Offender;8;Universidade Estadual de Feira de Santana;2;Fundação de Amparo à Pesquisa do Estado da Bahia;1;Peru;2;;;;
;;;;Roth, D.;2;;;;;;;BMC Women S Health;1;Qualitative Research;8;Royal Tropical Institute - KIT;2;Junta de Castilla y LeÃ³n;1;Afghanistan;1;;;;
;;;;Scolese, A.;2;;;;;;;BMJ Global Health;1;Education;7;Universidade Federal do Parana;2;La Trobe University;1;Austria;1;;;;
;;;;Shin, J.;2;;;;;;;Birth;1;Exposure To Violence;7;Radboud University Nijmegen;2;McGill University;1;Belgium;1;;;;
;;;;Signorelli, M.;2;;;;;;;British Journal Of Sociology;1;Human Rights;7;University of Toronto;2;Ministerio de EconomÃ­a, Industria y Competitividad, Gobierno de EspaÃ±a;1;Cambodia;1;;;;
;;;;Taft, A.;2;;;;;;;Casopis Pro Pravni Vedu A Praxi;1;Prevalence;7;George Mason University, Fairfax Campus;2;Ministry of Health;1;Chile;1;;;;
;;;;Abajobir, A.A.;1;;;;;;;Central European Journal Of Nursing And Midwifery;1;Prevention;7;University of Bristol;2;National Center for Advancing Translational Sciences;1;Congo;1;;;;
;;;;Abavi, R.;1;;;;;;;Child And Family Social Work;1;Clinical Article;6;Indiana University Bloomington;2;National Health and Medical Research Council;1;Costa Rica;1;;;;
;;;;Abdullah, N.;1;;;;;;;Children And Youth Services Review;1;Gender Based Violence;6;UCL;2;Ontario Ministry of Health and Long-Term Care;1;Ecuador;1;;;;
;;;;Abrefa-Gyan, T.;1;;;;;;;Ciencia E Saude Coletiva;1;Intersectionality;6;Universidade do Estado da Bahia;2;Pan American Health Organization;1;Egypt;1;;;;
;;;;Adanu, R.M.K.;1;;;;;;;Cogitare Enfermagem;1;Perception;6;Universidad del Pais Vasco;2;Queen Mary University of London;1;Germany;1;;;;
;;;;Addo-Lartey, A.A.;1;;;;;;;Conflict And Health;1;Physical Violence;6;The University of Queensland;2;State Government of Victoria;1;Ghana;1;;;;
;;;;Ahmed, N.;1;;;;;;;Data In Brief;1;Rape;6;Universidade Federal de Santa Maria;2;TÃ¼rkiye Bilimsel ve Teknolojik AraÅtirma Kurumu;1;Indonesia;1;;;;
;;;;Aijaz, S.;1;;;;;;;Economic Systems Research;1;Victim;6;Donald and Barbara Zucker School of Medicine at Hofstra/Northwell;2;University at Buffalo;1;Malaysia;1;;;;
;;;;Alfredo Clerici, C.;1;;;;;;;Estudios Sobre El Mensaje Periodistico;1;Womens Status;6;Centre for Enquiry into Health and Allied Themes CEHAT;1;University of Missouri;1;Mexico;1;;;;
;;;;Ali, T.S.;1;;;;;;;Ethics And International Affairs;1;Attitude;5;Conseil Général de Seine-Saint-Denis;1;University of Washington;1;Mozambique;1;;;;
;;;;Alkaiyat, A.;1;;;;;;;European Journal Of Criminology;1;Awareness;5;CRESPPA-CSU;1;UniversitÃ  degli Studi di Siena;1;New Zealand;1;;;;
;;;;Allen, N.E.;1;;;;;;;European Journal Of Women S Studies;1;Emotional Abuse;5;Ekjut;1;VetenskapsrÃ¥det;1;Pakistan;1;;;;
;;;;Ambavkar, G.;1;;;;;;;European Psychologist;1;Justice;5;International Rescue Committee;1;VicHealth;1;Palestine;1;;;;
;;;;Amin, A.;1;;;;;;;Feminism And Psychology;1;Priority Journal;5;Women’s College Hospital;1;Virginia Polytechnic Institute and State University;1;Serbia;1;;;;
;;;;Anurudran, A.;1;;;;;;;Feminist Criminology;1;Survivor;5;Complexo Hospitalar Professor Edgard Santos;1;Wellcome Trust;1;Slovakia;1;;;;
;;;;Aragbuwa, A.;1;;;;;;;Feminist Theory;1;Abuse;4;Novi Sad Business School;1;Western University;1;Thailand;1;;;;
;;;;Asghar, K.;1;;;;;;;Forensic Science Medicine And Pathology;1;Brazil;4;Acıbadem Altunizade Hospital;1;World Health Organization;1;United Arab Emirates;1;;;;
;;;;Avalaskar, P.;1;;;;;;;French Politics;1;Content Analysis;4;SNEHA;1;Undefined;78;Undefined;4;;;;
;;;;Ayala Quintanilla, B.P.;1;;;;;;;Gender And Development;1;Cross-sectional Study;4;International Rescue Committee;1;;;;;;;;
;;;;Bacchus, L.;1;;;;;;;Health Policy And Planning;1;India;4;Vital Strategies;1;;;;;;;;
;;;;Badiadika, K.K.;1;;;;;;;Hispanic Health Care International;1;Interview;4;Peruvian National Institute of Health;1;;;;;;;;
;;;;Baraldi, N.G.;1;;;;;;;Indian Journal Of Forensic Medicine And Toxicology;1;Pregnancy;4;Society for Nutrition;1;;;;;;;;
