nom_pais;N18_519;N19_519;N20_519;NM18_519;NM19_519;NM20_519;NH18_519;NH19_519;NH20_519;M18;M19;M20;T18;T19;T20
antigua y barbuda;21169;21112;21095;10460;10430;10419;10708;10685;10676;49863;50264;50659;96286;97118;97929
argentina;10748180;10799526;10846529;5279526;5304141;5326418;5468628;5495365;5520110;22729477;22939260;23146631;44361150;44780677;45195774
aruba;20507;20086;19688;10110;9899;9699;10396;10189;9988;55602;55867;56124;105845;106314;106766
bahamas;93436;91911;90384;46623;45761;44899;46814;46148;45486;198313;200256;202155;385637;389482;393244
barbados;53661;52868;52012;26262;25874;25465;27397;26991;26545;148115;148208;148287;286641;287025;287375
belice;116423;116530;116512;57540;57567;57535;58884;58962;58975;192273;196070;199860;383071;390353;397628
bolivia;3456878;3468551;3476781;1692762;1698256;1702078;1764115;1770295;1774706;5651979;5733491;5815010;11353142;11513100;11673021
brasil;46766183;46249341;45762265;22930280;22668742;22420727;23835854;23580563;23341536;106473081;107316359;108123626;209469323;211049527;212559417
chile;3775931;3777288;3773624;1855372;1856150;1854410;1920542;1921132;1919212;9373183;9500750;9610261;18470439;18729160;18952038
colombia;12040100;11950116;11823333;5891384;5846294;5784038;6148783;6103898;6039294;25290276;25626250;25898320;49661048;50339443;50882891
costa rica;1088231;1081703;1076434;531809;528566;525928;556421;553137;550505;2500214;2525022;2549038;4999441;5047561;5094118
cuba;1903315;1888151;1874829;925246;917667;911080;978066;970482;963745;5706812;5705556;5703148;11338134;11333483;11326616
curaçao;31815;31890;31904;15557;15594;15603;16257;16297;16306;88042;88339;88631;162752;163424;164093
ecuador;4698480;4714557;4726624;2300516;2308365;2314081;2397963;2406190;2412547;8537161;8683170;8819233;17084358;17373662;17643054
el salvador;1787210;1758947;1736429;880224;865629;853613;906952;893291;882817;3410312;3430197;3449777;6420746;6453553;6486205
granada;25078;25117;25258;12242;12255;12320;12836;12861;12936;55287;55576;55853;111454;112003;112523
guadalupe;85192;82848;80611;41715;40576;39483;43479;42270;41127;215076;215362;215571;399848;400056;400124
guatemala;5803051;5831216;5853689;2842317;2855400;2865780;2960730;2975813;2987910;8754899;8921526;9088458;17247849;17581472;17915568
guayana francesa;85719;86895;88054;42571;43049;43513;43144;43844;44540;143197;147057;150932;282938;290832;298682
guyana;222863;220761;219114;109522;108464;107572;113344;112300;111543;388008;389504;391010;779006;782766;786552
haiti;3558530;3572102;3584364;1757195;1763690;1769048;1801329;1808401;1815317;5634138;5705483;5776088;11123178;11263077;11402528
honduras;3084361;3068626;3053612;1511198;1503154;1495505;1573166;1565470;1558108;4798492;4877121;4955728;9587522;9746117;9904607
islas vírgenes de los estados unidos;21066;21005;20915;10348;10307;10253;10717;10698;10663;54887;54875;54822;104680;104578;104425
jamaica;713896;706434;700566;350235;346561;343689;363661;359872;356877;1477400;1484557;1491520;2934847;2948279;2961167
martinica;68835;66709;64720;33561;32534;31559;35275;34174;33163;202379;202585;202658;375673;375554;375265
méxico;33529777;33561429;33560974;16450902;16453113;16441433;17078782;17108272;17119541;64469963;65172136;65861267;126190788;127575529;128932753
nicaragua;1889858;1894846;1900367;916258;918567;921119;973606;976283;979246;3278831;3319519;3359705;6465501;6545502;6624554
panamá;1093468;1102748;1111074;535955;540389;544333;557512;562360;566742;2084482;2120006;2154888;4176869;4246439;4314767
paraguay;2025884;2020885;2019099;990445;988084;987282;1035441;1032804;1031815;3419020;3463751;3508170;6956066;7044636;7132538
perú;8071809;7904501;7746742;4061088;3995865;3929993;4010717;3908643;3816746;16102678;16362221;16593240;31989260;32510453;32971854
puerto rico;594442;568940;550704;284449;272331;263632;309943;296568;287067;1594272;1541438;1505322;3039596;2933408;2860853
república dominicana;2925997;2928721;2932397;1434475;1435669;1437329;1491520;1493051;1495065;5314402;5372759;5429698;10627141;10738958;10847910
san vicente y las granadinas;26225;25945;25664;12865;12751;12640;13361;13195;13029;54233;54496;54729;110211;110589;110940
santa lucía;36955;36095;35323;18333;17888;17490;18623;18206;17831;92310;92774;93207;181889;182790;183627
santa lucía;36955;36095;35323;18333;17888;17490;18623;18206;17831;92310;92774;93207;181889;182790;183627
surinam;154022;154489;154874;74194;74429;74620;79828;80059;80256;286364;289108;291812;575990;581372;586632
uruguay;722032;718609;715343;353326;351595;349919;368699;367009;365424;1784026;1789842;1795391;3449285;3461734;3473730
venezuela;7935201;7873901;7889762;3887031;3855917;3859933;4047974;4017770;4029825;14626489;14470601;14451011;28887118;28515829;28435940
