name_cepal;N18_519;N19_519;N20_519;MT18;MT19;MT20;PT18;PT19;PT20;names_pais
ANTIGUA Y BARBUDA;21169;21112;21095;49863;50264;50659;96286;97118;97929;antigua y barbuda
ARGENTINA;10748180;10799526;10846529;22729477;22939260;23146631;44361150;44780677;45195774;argentina
ARUBA;20507;20086;19688;55602;55867;56124;105845;106314;106766;aruba
BAHAMAS;93436;91911;90384;198313;200256;202155;385637;389482;393244;bahamas
BARBADOS;53661;52868;52012;148115;148208;148287;286641;287025;287375;barbados
BELICE;116423;116530;116512;192273;196070;199860;383071;390353;397628;belice
CHILE;3775931;3777288;3773624;9373183;9500750;9610261;18470439;18729160;18952038;chile
COLOMBIA;12040100;11950116;11823333;25290276;25626250;25898320;49661048;50339443;50882891;colombia
COSTA RICA;1088231;1081703;1076434;2500214;2525022;2549038;4999441;5047561;5094118;costa rica
CUBA;1903315;1888151;1874829;5706812;5705556;5703148;11338134;11333483;11326616;cuba
CURAÇAO;31815;31890;31904;88042;88339;88631;162752;163424;164093;curaçao
ECUADOR;4698480;4714557;4726624;8537161;8683170;8819233;17084358;17373662;17643054;ecuador
BRASIL;46766183;46249341;45762265;106473081;107316359;108123626;209469323;211049527;212559417;brasil
EL SALVADOR;1787210;1758947;1736429;3410312;3430197;3449777;6420746;6453553;6486205;el salvador
ESTADO PLURINACIONAL DE BOLIVIA;3456878;3468551;3476781;5651979;5733491;5815010;11353142;11513100;11673021;bolivia
GRANADA;25078;25117;25258;55287;55576;55853;111454;112003;112523;granada
GUADALUPE;85192;82848;80611;215076;215362;215571;399848;400056;400124;guadalupe
GUATEMALA;5803051;5831216;5853689;8754899;8921526;9088458;17247849;17581472;17915568;guatemala
GUAYANA FRANCESA;85719;86895;88054;143197;147057;150932;282938;290832;298682;guayana francesa
GUYANA;222863;220761;219114;388008;389504;391010;779006;782766;786552;guyana
HAITI;3558530;3572102;3584364;5634138;5705483;5776088;11123178;11263077;11402528;haiti
HONDURAS;3084361;3068626;3053612;4798492;4877121;4955728;9587522;9746117;9904607;honduras
ISLAS VÍRGENES DE LOS ESTADOS UNIDOS;21066;21005;20915;54887;54875;54822;104680;104578;104425;islas vírgenes de los estados unidos
JAMAICA;713896;706434;700566;1477400;1484557;1491520;2934847;2948279;2961167;jamaica
MARTINICA;68835;66709;64720;202379;202585;202658;375673;375554;375265;martinica
MÉXICO;33529777;33561429;33560974;64469963;65172136;65861267;126190788;127575529;128932753;méxico
NICARAGUA;1889858;1894846;1900367;3278831;3319519;3359705;6465501;6545502;6624554;nicaragua
PANAMÁ;1093468;1102748;1111074;2084482;2120006;2154888;4176869;4246439;4314767;panamá
PARAGUAY;2025884;2020885;2019099;3419020;3463751;3508170;6956066;7044636;7132538;paraguay
PERÚ;8071809;7904501;7746742;16102678;16362221;16593240;31989260;32510453;32971854;perú
PUERTO RICO;594442;568940;550704;1594272;1541438;1505322;3039596;2933408;2860853;puerto rico
REPÚBLICA BOLIVARIANA DE VENEZUELA;7935201;7873901;7889762;14626489;14470601;14451011;28887118;28515829;28435940;venezuela
REPÚBLICA DOMINICANA;2925997;2928721;2932397;5314402;5372759;5429698;10627141;10738958;10847910;república dominicana
SAN VICENTE Y LAS GRANADINAS;26225;25945;25664;54233;54496;54729;110211;110589;110940;san vicente y las granadinas
SANTA LUCÍA;36955;36095;35323;92310;92774;93207;181889;182790;183627;santa lucía
SURINAM;154022;154489;154874;286364;289108;291812;575990;581372;586632;surinam
TRINIDAD Y TOBAGO;278966;280639;281892;703139;705987;708544;1389843;1394973;1399488;trinidad y tobago
URUGUAY;722032;718609;715343;1784026;1789842;1795391;3449285;3461734;3473730;uruguay
